15.0,20.0,15.0,20.0,11.0,31.0,23.0,14.0,9.0,32.0,27.0,18.0,13.0,17.0,29.0,31.0,3.0,30.0,6.0,2.0,20.0,1.0,,3.0,13.0,13.0,3.0,2.0,5.0,4.0,28.0,10.0,25.0,13.0,31.0,13.0,15.0,32.0,29.0,18.0
15.0,22.0,17.0,17.0,13.0,34.0,26.0,16.0,10.0,34.0,30.0,21.0,15.0,19.0,32.0,34.0,3.0,33.0,9.0,5.0,23.0,4.0,3.0,,10.0,16.0,6.0,1.0,8.0,4.0,31.0,7.0,28.0,10.0,34.0,16.0,13.0,35.0,31.0,16.0
18.0,31.0,25.0,11.0,21.0,43.0,36.0,25.0,18.0,44.0,39.0,31.0,25.0,29.0,42.0,44.0,11.0,43.0,19.0,15.0,33.0,14.0,13.0,10.0,,26.0,16.0,11.0,17.0,12.0,41.0,6.0,38.0,6.0,44.0,25.0,7.0,45.0,41.0,13.0
21.0,15.0,14.0,32.0,13.0,19.0,13.0,10.0,14.0,20.0,15.0,9.0,8.0,7.0,16.0,18.0,15.0,17.0,7.0,11.0,7.0,12.0,13.0,16.0,26.0,,10.0,15.0,9.0,14.0,15.0,22.0,13.0,25.0,18.0,6.0,27.0,20.0,17.0,28.0
16.0,19.0,15.0,23.0,11.0,28.0,21.0,12.0,10.0,29.0,24.0,16.0,11.0,14.0,26.0,28.0,6.0,27.0,4.0,3.0,17.0,2.0,3.0,6.0,16.0,10.0,,5.0,3.0,5.0,25.0,12.0,22.0,15.0,28.0,10.0,18.0,29.0,25.0,20.0
16.0,22.0,17.0,19.0,13.0,33.0,26.0,16.0,11.0,34.0,29.0,21.0,15.0,19.0,31.0,33.0,4.0,32.0,8.0,5.0,22.0,3.0,2.0,1.0,11.0,15.0,5.0,,6.0,3.0,30.0,8.0,27.0,11.0,33.0,15.0,13.0,34.0,30.0,16.0
19.0,21.0,17.0,25.0,14.0,29.0,22.0,14.0,13.0,29.0,25.0,17.0,13.0,15.0,26.0,27.0,9.0,26.0,6.0,6.0,16.0,5.0,5.0,8.0,17.0,9.0,3.0,6.0,,5.0,24.0,13.0,21.0,16.0,27.0,8.0,18.0,27.0,23.0,19.0
19.0,24.0,19.0,21.0,15.0,33.0,26.0,17.0,13.0,34.0,29.0,21.0,16.0,19.0,31.0,32.0,7.0,31.0,9.0,6.0,21.0,4.0,4.0,4.0,12.0,14.0,5.0,3.0,5.0,,29.0,8.0,26.0,11.0,32.0,13.0,13.0,32.0,28.0,15.0
36.0,23.0,26.0,47.0,26.0,14.0,15.0,22.0,28.0,13.0,13.0,17.0,20.0,16.0,9.0,8.0,31.0,7.0,23.0,26.0,10.0,27.0,28.0,31.0,41.0,15.0,25.0,30.0,24.0,29.0,,37.0,3.0,40.0,3.0,16.0,42.0,6.0,8.0,41.0
21.0,30.0,25.0,17.0,21.0,41.0,34.0,24.0,18.0,42.0,37.0,29.0,23.0,27.0,39.0,40.0,10.0,39.0,16.0,13.0,29.0,11.0,10.0,7.0,6.0,22.0,12.0,8.0,13.0,8.0,37.0,,34.0,3.0,40.0,21.0,5.0,40.0,35.0,8.0
34.0,22.0,24.0,45.0,24.0,15.0,15.0,20.0,26.0,15.0,14.0,16.0,19.0,15.0,10.0,10.0,28.0,9.0,20.0,24.0,8.0,24.0,25.0,28.0,38.0,13.0,22.0,27.0,21.0,26.0,3.0,34.0,,37.0,6.0,13.0,39.0,7.0,7.0,38.0
23.0,33.0,28.0,17.0,24.0,44.0,37.0,27.0,21.0,45.0,40.0,32.0,26.0,30.0,42.0,43.0,13.0,42.0,19.0,16.0,32.0,14.0,13.0,10.0,6.0,25.0,15.0,11.0,16.0,11.0,40.0,3.0,37.0,,43.0,24.0,2.0,43.0,38.0,7.0
39.0,26.0,29.0,51.0,30.0,16.0,18.0,25.0,32.0,15.0,15.0,20.0,24.0,19.0,11.0,10.0,34.0,9.0,26.0,30.0,13.0,30.0,31.0,34.0,44.0,18.0,28.0,33.0,27.0,32.0,3.0,40.0,6.0,43.0,,19.0,45.0,4.0,7.0,44.0
26.0,21.0,20.0,34.0,18.0,24.0,18.0,16.0,18.0,24.0,20.0,15.0,14.0,13.0,20.0,21.0,17.0,20.0,10.0,13.0,11.0,13.0,13.0,16.0,25.0,6.0,10.0,15.0,8.0,13.0,16.0,21.0,13.0,24.0,19.0,,26.0,19.0,15.0,25.0
25.0,35.0,30.0,18.0,26.0,46.0,39.0,29.0,23.0,47.0,42.0,34.0,28.0,32.0,44.0,46.0,15.0,44.0,21.0,18.0,34.0,16.0,15.0,13.0,7.0,27.0,18.0,13.0,18.0,13.0,42.0,5.0,39.0,2.0,45.0,26.0,,45.0,40.0,6.0
42.0,29.0,32.0,52.0,32.0,20.0,21.0,28.0,34.0,19.0,19.0,23.0,26.0,22.0,15.0,14.0,35.0,13.0,28.0,31.0,16.0,31.0,32.0,35.0,45.0,20.0,29.0,34.0,27.0,32.0,6.0,40.0,7.0,43.0,4.0,19.0,45.0,,5.0,44.0
39.0,29.0,31.0,49.0,30.0,22.0,22.0,26.0,31.0,21.0,21.0,22.0,25.0,21.0,17.0,16.0,32.0,15.0,25.0,28.0,15.0,28.0,29.0,31.0,41.0,17.0,25.0,30.0,23.0,28.0,8.0,35.0,7.0,38.0,7.0,15.0,40.0,5.0,,39.0
30.0,38.0,34.0,24.0,29.0,48.0,41.0,32.0,27.0,48.0,44.0,36.0,31.0,34.0,45.0,46.0,19.0,45.0,24.0,21.0,35.0,19.0,18.0,16.0,13.0,28.0,20.0,16.0,19.0,15.0,41.0,8.0,38.0,7.0,44.0,25.0,6.0,44.0,39.0,
